2310.9,964.64,216.79,154.27
17.586,16.451,35.224,36.355
112.5,130.68,131.38,113.18
48.889,47.761,66.6,67.723
113.64,131.85,132.55,114.32
80.3,79.18,98.083,99.199
114.78,133.02,133.72,115.46
111.82,110.71,129.68,130.78
115.92,134.19,134.9,116.61
143.45,142.34,161.38,162.48
117.06,135.37,136.08,117.75
175.19,174.09,193.19,194.28
118.21,136.55,137.26,118.91
19.478,18.343,37.109,38.238
82.232,100.39,101.06,82.88
50.767,49.641,68.471,69.593
83.313,101.5,102.17,83.964
82.165,81.046,99.942,101.06
84.399,102.62,103.29,85.052
113.67,112.56,131.52,132.63
85.488,103.74,104.42,86.143
145.29,144.18,163.21,164.31
86.581,104.87,105.54,87.238
177.01,175.92,195.01,196.1
87.677,106,106.67,88.337
21.367,20.233,38.991,40.12
51.992,70.132,70.768,52.609
52.643,51.518,70.34,71.461
53.021,71.192,71.831,53.64
84.028,82.91,101.8,102.91
54.053,72.257,72.897,54.674
115.52,114.41,133.36,134.47
55.089,73.325,73.967,55.713
147.12,146.02,165.04,166.14
56.129,74.396,75.041,56.755
178.83,177.74,196.83,197.91
57.172,75.472,76.119,57.8
23.254,22.122,40.872,41.999
21.783,39.904,40.509,22.368
54.518,53.393,72.208,73.328
22.759,40.912,41.519,23.347
85.889,84.773,103.65,104.76
23.739,41.924,42.532,24.329
117.37,116.26,135.21,136.31
24.723,42.939,43.55,25.314
148.96,147.86,166.87,167.96
25.709,43.957,44.57,26.303
180.66,179.56,198.64,199.73
26.7,44.979,45.594,27.295
