608.09,2079,545.96,421.25
34.204,29.83,81.196,85.027
288.01,341.3,342.89,289.43
119.07,115.61,167.47,170.38
290.38,343.96,345.56,291.81
204.76,202.22,254.59,256.57
292.77,346.63,348.25,294.22
291.27,289.68,342.57,343.59
295.19,349.34,350.98,296.65
378.63,378,431.41,431.46
297.63,352.07,353.72,299.1
466.85,467.2,521.14,520.19
300.09,354.83,356.5,301.58
41.288,37.068,87.535,91.23
201.7,253.12,254.43,202.85
124.68,121.34,172.29,175.1
203.62,255.3,256.63,204.78
208.87,206.42,257.86,259.76
205.56,257.51,258.85,206.73
293.85,292.32,344.25,345.23
207.52,259.74,261.09,208.7
379.65,379.04,431.49,431.53
209.49,261.99,263.35,210.69
466.28,466.62,519.57,518.65
211.49,264.26,265.63,212.69
48.126,44.052,93.651,97.218
118.39,168.03,169.08,119.29
130.1,126.87,176.94,179.65
119.89,169.78,170.83,120.8
212.83,210.47,261.01,262.84
121.41,171.54,172.61,122.32
296.34,294.86,345.88,346.82
122.94,173.32,174.4,123.86
380.64,380.05,431.55,431.59
124.48,175.12,176.21,125.41
465.72,466.05,518.05,517.17
126.04,176.94,178.04,126.98
54.73,50.795,99.555,103
37.924,85.873,86.675,38.588
135.33,132.21,181.42,184.04
39.032,87.213,88.023,39.702
216.66,214.38,264.05,265.82
40.151,88.566,89.384,40.827
298.74,297.31,347.44,348.36
41.28,89.931,90.757,41.962
381.58,381.02,431.62,431.66
42.419,91.309,92.142,43.107
465.19,465.51,516.59,515.73
43.568,92.7,93.541,44.263
